,Country,Country info,Capital,Capital info,Capital hint,Flag,Flag similarity,Map,tags
0,Abkhazia,Independent state claimed by Georgia.,Sukhumi,,,flag-abkhazia.png,,map-abkhazia.png,UG::Europe UG::Sovereign_State
1,Adriatic Sea,,,,,,,map-adriatic_sea.png,UG::Oceans+Seas
2,Aegean Sea,,,,,,,map-aegean_sea.png,UG::Oceans+Seas
3,Afghanistan,,Kabul,,,flag-afghanistan.png,,map-afghanistan.png,UG::Asia UG::Sovereign_State
4,Africa,,,,,,,map-africa-nobox.png,UG::Continents
5,Albania,,Tirana,,,flag-albania.png,,map-albania.png,UG::Europe UG::Mediterranean UG::Sovereign_State
6,Algeria,,Algiers,,,flag-algeria.png,,map-algeria.png,UG::Africa UG::Mediterranean UG::Sovereign_State
7,American Samoa,Unincorporated territory of the United States.,Pago Pago,,,flag-american_samoa.png,,map-american_samoa.png,UG::Oceania
8,Andorra,,Andorra la Vella,,,flag-andorra.png,"Moldova (wider, coat of arms with eagle)",map-andorra.png,UG::Europe UG::Sovereign_State
9,Angola,,Luanda,,,flag-angola.png,,map-angola.png,UG::Africa UG::Sovereign_State
10,Anguilla,Overseas territory of the United Kingdom.,The Valley,,,flag-anguilla.png,,map-anguilla.png,UG::Caribbean UG::North_America
11,Antarctica,,,,,,,map-antarctica-nobox.png,UG::Continents
12,Antigua and Barbuda,,St. John's,,,flag-antigua_and_barbuda.png,,map-antigua_and_barbuda.png,UG::Caribbean UG::North_America UG::Sovereign_State
13,Arabian Sea,,,,,,,map-arabian_sea.png,UG::Oceans+Seas
14,Aral Sea,,,,,,,map-aral_sea.png,UG::Oceans+Seas
15,Arctic Ocean,,,,,,,map-arctic_ocean-nobox.png,UG::Oceans+Seas
16,Argentina,,Buenos Aires,,,flag-argentina.png,,map-argentina.png,UG::South_America UG::Sovereign_State
17,Armenia,,Yerevan,,,flag-armenia.png,,map-armenia.png,UG::Europe UG::Sovereign_State
18,Aruba,Constituent country of the Kingdom of the Netherlands.,Oranjestad,,Constituent country,flag-aruba.png,,map-aruba.png,UG::Caribbean UG::North_America
19,Asia,,,,,,,map-asia-nobox.png,UG::Continents
20,Atlantic Ocean,,,,,,,map-atlantic_ocean-nobox.png,UG::Oceans+Seas
21,Australia,,Canberra,,,flag-australia.png,"New Zealand (red stars, two fewer stars)",map-australia.png,UG::Oceania UG::Sovereign_State
22,Oceania,,,,,,,map-oceania-nobox.png,UG::Continents
23,Austria,,Vienna,,,flag-austria.png,"Latvia (darker red, narrower white band)",map-austria.png,UG::Europe UG::European_Union UG::Sovereign_State
24,Azerbaijan,,Baku,,,flag-azerbaijan.png,,map-azerbaijan.png,UG::Europe UG::Sovereign_State
25,Azores,Autonomous region of Portugal.,Ponta Delgada,,,flag-azores.png,,map-azores.png,UG::Europe
26,Bahrain,,Manama,,,flag-bahrain.png,"Qatar (wider, more serrated edges, maroon)",map-bahrain.png,UG::Asia UG::Middle_East UG::Sovereign_State
27,Bali,Province of Indonesia.,Denpasar,,,flag-bali.png,,map-bali.png,UG::Asia
28,Balkan Peninsula,,,,,,,map-balkan_peninsula.png,UG::Europe
29,Baltic Sea,,,,,,,map-baltic_sea.png,UG::Oceans+Seas
30,Bangladesh,,Dhaka,,,flag-bangladesh.png,,map-bangladesh.png,UG::Asia UG::Sovereign_State
