,Country,Country info,Capital,Capital info,Capital hint,Flag,Flag similarity,Map,tags
0,England,Constituent country of the United Kingdom.,London,,Not a sovereign country,"<img src=""ug-flag-england.svg"" />",,"<img src=""ug-map-england.png"" />",UG::Europe
1,Scotland,Constituent country of the United Kingdom.,Edinburgh,,,"<img src=""ug-flag-scotland.svg"" />",,"<img src=""ug-map-scotland.png"" />",UG::Europe
2,United Kingdom,,London,,Sovereign country,"<img src=""ug-flag-united_kingdom.svg"" />",,"<img src=""ug-map-united_kingdom.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
3,Northern Ireland,Constituent country of the United Kingdom.,Belfast,,,,,"<img src=""ug-map-northern_ireland.png"" />",UG::Europe
4,France,,Paris,,,"<img src=""ug-flag-france.svg"" />",,"<img src=""ug-map-france.png"" />",UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
5,Wales,Constituent country of the United Kingdom.,Cardiff,,,"<img src=""ug-flag-wales.svg"" />",,"<img src=""ug-map-wales.png"" />",UG::Europe
6,Georgia,,Tbilisi,,,"<img src=""ug-flag-georgia.svg"" />",,"<img src=""ug-map-georgia.png"" />",UG::Europe UG::Sovereign_State
7,Germany,,Berlin,,,"<img src=""ug-flag-germany.svg"" />",,"<img src=""ug-map-germany.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
8,Greece,,Athens,,,"<img src=""ug-flag-greece.svg"" />",,"<img src=""ug-map-greece.png"" />",UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
9,Greenland,Constituent country in the Kingdom of Denmark.,Nuuk,,,"<img src=""ug-flag-greenland.svg"" />",,"<img src=""ug-map-greenland.png"" />",UG::North_America
10,Hungary,,Budapest,,,"<img src=""ug-flag-hungary.svg"" />",,"<img src=""ug-map-hungary.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
11,Albania,,Tirana,,,"<img src=""ug-flag-albania.svg"" />",,"<img src=""ug-map-albania.png"" />",UG::Europe UG::Mediterranean UG::Sovereign_State
12,Andorra,,Andorra la Vella,,,"<img src=""ug-flag-andorra.png"" />","Moldova (wider, coat of arms with eagle)","<img src=""ug-map-andorra.png"" />",UG::Europe UG::Sovereign_State
13,Austria,,Vienna,,,"<img src=""ug-flag-austria.svg"" />","Latvia (darker red, narrower white band)","<img src=""ug-map-austria.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
14,Azerbaijan,,Baku,,,"<img src=""ug-flag-azerbaijan.svg"" />",,"<img src=""ug-map-azerbaijan.png"" />",UG::Europe UG::Sovereign_State
15,Belarus,,Minsk,,,"<img src=""ug-flag-belarus.svg"" />",,"<img src=""ug-map-belarus.png"" />",UG::Europe UG::Sovereign_State
16,Belgium,,Brussels,,Sovereign country,"<img src=""ug-flag-belgium.svg"" />",,"<img src=""ug-map-belgium.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
17,Bosnia and Herzegovina,,Sarajevo,,,"<img src=""ug-flag-bosnia_and_herzegovina.svg"" />",,"<img src=""ug-map-bosnia_and_herzegovina.png"" />",UG::Europe UG::Mediterranean UG::Sovereign_State
18,Bulgaria,,Sofia,,,"<img src=""ug-flag-bulgaria.svg"" />",,"<img src=""ug-map-bulgaria.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
19,Croatia,,Zagreb,,,"<img src=""ug-flag-croatia.png"" />",,"<img src=""ug-map-croatia.png"" />",UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
20,Czech Republic,Also known as Czechia.,Prague,,,"<img src=""ug-flag-czech_republic.svg"" />",,"<img src=""ug-map-czech_republic.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
21,Denmark,,Copenhagen,,,"<img src=""ug-flag-denmark.svg"" />",,"<img src=""ug-map-denmark.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
22,Estonia,,Tallinn,,,"<img src=""ug-flag-estonia.svg"" />",,"<img src=""ug-map-estonia.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
23,Faroe Islands,Constituent country in the Kingdom of Denmark.,Tórshavn,,,"<img src=""ug-flag-faroe_islands.svg"" />","Iceland (blue background, red and white cross), Norway (red background, blue and white cross)","<img src=""ug-map-faroe_islands.png"" />",UG::Europe
24,Finland,,Helsinki,,,"<img src=""ug-flag-finland.svg"" />",,"<img src=""ug-map-finland.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
25,Iceland,,Reykjavík,,,"<img src=""ug-flag-iceland.svg"" />","Norway (red background, blue cross), Faroe Islands (white background, red and blue cross)","<img src=""ug-map-iceland.png"" />",UG::Europe UG::Sovereign_State
26,Ireland,,Dublin,,,"<img src=""ug-flag-ireland.svg"" />","Ivory Coast (green and orange flipped, narrower)","<img src=""ug-map-ireland.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
27,Italy,,Rome,,,"<img src=""ug-flag-italy.svg"" />",,"<img src=""ug-map-italy.png"" />",UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
28,Latvia,,Riga,,,"<img src=""ug-flag-latvia.svg"" />","Austria (brighter red, wider white band)","<img src=""ug-map-latvia.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
29,Liechtenstein,,Vaduz,,,"<img src=""ug-flag-liechtenstein.svg"" />",,"<img src=""ug-map-liechtenstein.png"" />",UG::Europe UG::Sovereign_State
30,Lithuania,,Vilnius,,,"<img src=""ug-flag-lithuania.svg"" />",,"<img src=""ug-map-lithuania.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
31,Luxembourg,,Luxembourg City,Officially Luxembourg.,,"<img src=""ug-flag-luxembourg.svg"" />",Netherlands (darker blue),"<img src=""ug-map-luxembourg.png"" />",UG::Europe UG::European_Union UG::Sovereign_State
32,North Macedonia,Formerly known as Macedonia.,Skopje,,,"<img src=""ug-flag-north_macedonia.svg"" />",,"<img src=""ug-map-north_macedonia.png"" />",UG::Europe UG::Sovereign_State
33,Malta,,Valletta,,,"<img src=""ug-flag-malta.svg"" />",,"<img src=""ug-map-malta.png"" />",UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State
